construction;preposition;lemma;pos;meaning;Masini_freq;dataset_freq
giro su giro;su;giro;sg;modifier;succession/iteration/distributivity;1;1
giunzioni su giunzioni;su;giunzione;pl;nominal;greater_plurality/accumulation;1;1
goccia a goccia;a;goccia;sg;modifier;succession/iteration/distributivity;40;47
gomito a gomito;a;gomito;sg;modifier;juxtaposition/contact;67;94
gomito a gomito;a;gomito;sg;nominal;idiosyncratic;2;1
gomito a gomito;a;gomito;sg;nominal;juxtaposition/contact;0;1
gradino a gradino;a;gradino;sg;modifier;succession/iteration/distributivity;1;1
grado a grado;a;grado;sg;modifier;succession/iteration/distributivity;6;6
granelli su granelli;su;granello;pl;nominal;greater_plurality/accumulation;1;1
granellino su granellino;su;granellino;sg;modifier;succession/iteration/distributivity;1;1
grazia su grazia;su;grazia;sg;nominal;greater_plurality/accumulation;3;0
grigio su grigio;su;grigio;sg;modifier;juxtaposition/contact;1;0
guancia a guancia;a;guancia;sg;modifier;juxtaposition/contact;20;20
guancia a guancia;a;guancia;sg;nominal;idiosyncratic;2;2
hinterland su hinterland;su;hinterland;sg;modifier;connection/transition;1;1
imprecazioni su imprecazioni;su;imprecazione;pl;nominal;greater_plurality/accumulation;1;1
incarichi su incarichi;su;incarico;pl;nominal;greater_plurality/accumulation;1;1
indizi su indizi;su;indizio;pl;nominal;greater_plurality/accumulation;1;1
informazioni su informazioni;su;informazione;pl;nominal;greater_plurality/accumulation;1;1
integrazioni su integrazioni;su;integrazione;pl;nominal;greater_plurality/accumulation;1;1
interessi su interessi;su;interesse;pl;nominal;greater_plurality/accumulation;1;1
interrogativi su interrogativi;su;interrogativo;pl;nominal;greater_plurality/accumulation;1;1
intervista su intervista;su;intervista;sg;modifier;succession/iteration/distributivity;1;1
interviste su interviste;su;intervista;pl;nominal;greater_plurality/accumulation;2;2
invenzioni su invenzioni;su;invenzione;pl;nominal;greater_plurality/accumulation;1;1
inverno su inverno;su;inverno;sg;modifier;connection/transition;1;1
ipotesi su ipotesi;su;ipotesi;pl;nominal;greater_plurality/accumulation;1;1
km su km;su;km;sg;nominal;greater_plurality/accumulation;1;1
lato a lato;a;lato;sg;modifier;idiosyncratic;1;1
layer su layer;su;layer;sg;modifier;succession/iteration/distributivity;1;1
leggi su leggi;su;legge;pl;nominal;greater_plurality/accumulation;1;1
leghe su leghe;su;lega;pl;nominal;greater_plurality/accumulation;1;1
legni su legni;su;legno;pl;nominal;greater_plurality/accumulation;1;1
legno su legno;su;legno;sg;modifier;juxtaposition/contact;1;1
lettere su lettere;su;lettera;pl;nominal;greater_plurality/accumulation;0;6
